Questions,Answers,Label
Who was Jesse Livermore?,Jesse Livermore (1877–1940) was one of the greatest stock and commodity speculators in history known as the 'Boy Plunger' who made and lost several fortunes on Wall Street.,Personal Life
Where was Jesse Livermore born?,Jesse Livermore was born in Shrewsbury Massachusetts on July 26 1877 into a modest farming family.,Personal Life
What was Livermore's childhood like?,Livermore grew up in a rural farming household with limited means but showed an extraordinary aptitude for numbers and mental arithmetic from a very young age.,Personal Life
How did Livermore first enter the financial world?,Livermore got his first job as a quotation-board boy at a Boston brokerage office after leaving grammar school posting stock prices on the customers' board.,Personal Life
What special skill did Livermore display as a child?,Livermore was exceptionally gifted at mental arithmetic completing three years of arithmetic in one at school and memorizing long columns of figures effortlessly.,Personal Life
How old was Livermore when he made his first trade?,Livermore made his very first speculative trade around the age of 14 while working as a quotation-board boy before he was even officially allowed to trade.,Personal Life
How much did Livermore make before he was 16?,Livermore had accumulated his first thousand dollars by the age of 15 trading in bucket shops laying the cash in front of his mother who was amazed by the sum.,Personal Life
How did Livermore's mother react to his early trading profits?,His mother was alarmed and urged him to put the money in a savings bank fearing it was not real and worrying constantly about his speculative activities.,Personal Life
What was a bucket shop and why did Livermore frequent them?,A bucket shop was an unofficial establishment where customers could bet on stock price movements without actual ownership. Livermore used them as his first training ground for reading price action.,Personal Life
Why did bucket shops eventually bar Livermore?,Livermore was so consistently profitable that bucket shops across New England banned him by name forcing him to use disguises and aliases just to place trades.,Personal Life
What nickname did Livermore earn in his youth?,Livermore earned the nickname 'Boy Plunger' because of his aggressive and bold trading style at a very young age often putting all of his capital into a single position.,Personal Life
When did Livermore move to New York City?,Livermore moved to New York City as a young man with approximately twenty-five hundred dollars to access the larger and more legitimate markets of the New York Stock Exchange.,Personal Life
How many times did Livermore go completely bankrupt?,Livermore went completely bankrupt at least five times throughout his career losing and rebuilding multi-million dollar fortunes multiple times over his trading life.,Personal Life
Who were Livermore's wives?,Livermore married three times first to Nettie Jordan then to Dorothy Wendt with whom he had two sons and finally to Harriet Metz Noble.,Personal Life
What personal tragedies struck Livermore's family?,Livermore's eldest son Jesse Jr. was accidentally shot by his mother Dorothy during a domestic dispute and Livermore's family life was repeatedly disrupted by his financial swings and personal instability.,Personal Life
What was Livermore's lifestyle like during his peak wealth?,During his peak years Livermore lived lavishly owning multiple mansions a yacht called the Anita several cars and employing a large staff reflecting his enormous speculative winnings.,Personal Life
What was the famous Palm Beach incident?,While vacationing in Palm Beach Livermore would continue trading from telegraph offices demonstrating his complete absorption in the market even during supposed holidays.,Personal Life
How did Livermore describe his approach to trading as a young man?,Livermore described his early self as someone who saw quotations not as dollar prices but as numbers constantly changing — patterns that he instinctively began tracking and predicting.,Personal Life
What formal education did Livermore have?,Livermore had very little formal education leaving school shortly after grammar school and essentially educating himself through decades of hands-on market experience.,Personal Life
How did Livermore's early poverty influence his trading?,His early poverty gave Livermore a fierce drive to generate wealth through speculation and made him deeply aware of what it meant to lose money motivating extreme discipline in his better years.,Personal Life
